実質季節調整系列,,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:2020暦年連鎖価格、10億円),,,
"Real, Seasonally Adjusted Series",,,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(Billions of Chained (2020) Yen),,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,開差,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,,純受取,受取,支払,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,Residual,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,,,,Net,Receipt,Payment,,,,,,,,,,,,
10-12.,"495,641.5 ","268,201.9 ","264,023.7 ","225,990.4 ","38,502.0 ","84,970.6 ","2,383.7 ","77,091.7 ","47,246.2 ",244.4 ,"-13,247.7 ","39,897.4 ","53,145.1 ","-9,751.3 ",,"14,998.5 ","510,640.0 ","6,242.6 ","11,794.3 ","5,551.7 ","516,882.6 ",,"514,915.8 ","392,732.7 ","122,136.0 ",,"167,686.6 ",,"492,525.3 ",,,
1997/ 1- 3.,"498,905.6 ","272,127.3 ","267,981.1 ","229,728.9 ","38,641.5 ","86,394.2 ",-348.0 ,"77,025.9 ","46,923.0 ",133.8 ,"-12,462.0 ","41,124.7 ","53,586.7 ","-9,530.0 ",,"14,456.7 ","513,362.3 ","6,777.9 ","12,543.5 ","5,765.5 ","520,140.2 ",,"517,200.6 ","395,471.8 ","121,675.2 ",,"169,039.4 ",,"498,559.2 ",,,
4- 6.,"495,397.1 ","265,220.9 ","261,151.0 ","222,746.4 ","35,389.1 ","86,201.4 ","2,532.3 ","77,335.3 ","47,060.7 ",64.1 ,"-9,817.7 ","42,897.0 ","52,714.6 ","-8,589.0 ",,"14,777.5 ","510,174.6 ","6,871.9 ","12,519.9 ","5,648.0 ","517,046.5 ",,"510,601.8 ","388,524.3 ","122,058.8 ",,"166,095.3 ",,"492,284.7 ",,,
7- 9.,"496,171.9 ","265,535.3 ","261,536.6 ","222,956.8 ","33,448.6 ","86,353.5 ","4,872.0 ","77,170.6 ","47,489.8 ",142.2 ,"-10,318.8 ","42,292.8 ","52,611.6 ","-8,521.2 ",,"14,890.5 ","511,062.4 ","5,992.5 ","11,793.8 ","5,801.3 ","517,054.9 ",,"512,047.0 ","389,668.1 ","122,362.0 ",,"164,939.7 ",,"490,699.1 ",,,
10-12.,"496,111.4 ","265,055.3 ","260,958.8 ","222,211.7 ","32,273.8 ","88,361.0 ","3,356.4 ","77,564.5 ","45,247.8 ",438.4 ,"-8,128.0 ","43,230.1 ","51,358.1 ","-8,057.7 ",,"15,430.8 ","511,542.1 ","7,136.8 ","13,433.9 ","6,297.1 ","518,678.9 ",,"509,735.0 ","388,770.6 ","120,933.9 ",,"164,025.9 ",,"491,887.5 ",,,
1998/ 1- 3.,"488,261.7 ","264,438.2 ","260,087.1 ","221,171.4 ","31,483.0 ","84,946.3 ","3,655.0 ","77,542.3 ","42,638.6 ",230.0 ,"-8,788.6 ","42,129.6 ","50,918.2 ","-7,883.2 ",,"16,161.5 ","504,423.3 ","6,727.3 ","12,658.1 ","5,930.7 ","511,150.6 ",,"502,494.6 ","384,119.5 ","118,326.5 ",,"157,305.6 ",,"483,927.4 ",,,
4- 6.,"485,562.3 ","264,386.7 ","259,749.6 ","220,673.2 ","30,923.8 ","83,679.4 ","1,531.2 ","78,056.1 ","42,357.5 ",162.8 ,"-7,352.5 ","41,320.2 ","48,672.7 ","-8,182.7 ",,"15,974.7 ","501,537.0 ","5,708.6 ","11,902.5 ","6,193.9 ","507,245.6 ",,"498,635.0 ","380,072.2 ","118,532.5 ",,"155,204.3 ",,"483,359.9 ",,,
7- 9.,"486,200.6 ","266,679.5 ","261,830.0 ","222,565.8 ","30,262.9 ","82,974.0 ",-725.1 ,"78,485.4 ","44,284.1 ",-80.9 ,"-7,358.7 ","41,435.2 ","48,793.8 ","-8,320.7 ",,"15,642.7 ","501,843.3 ","6,457.7 ","12,020.1 ","5,562.4 ","508,301.0 ",,"499,264.5 ","378,729.5 ","120,537.8 ",,"155,623.1 ",,"486,397.9 ",,,
10-12.,"490,395.5 ","266,109.1 ","261,108.3 ","221,681.3 ","29,826.0 ","80,841.3 ","2,413.8 ","79,039.7 ","48,860.4 ",-572.1 ,"-6,962.0 ","40,699.2 ","47,661.2 ","-9,160.7 ",,"16,100.1 ","506,495.6 ","5,888.5 ","10,257.8 ","4,369.3 ","512,384.1 ",,"503,533.2 ","378,694.4 ","124,902.0 ",,"157,121.5 ",,"487,921.3 ",,,
1999/ 1- 3.,"483,233.5 ","266,975.9 ","261,899.2 ","222,238.4 ","29,526.4 ","78,638.3 ","-3,838.6 ","79,938.3 ","49,239.5 ",-83.3 ,"-8,280.1 ","40,788.7 ","49,068.8 ","-8,883.0 ",,"16,837.3 ","500,070.7 ","5,244.1 ","10,025.6 ","4,781.4 ","505,314.9 ",,"497,205.7 ","370,780.2 ","126,558.1 ",,"154,836.7 ",,"486,340.2 ",,,
