実質季節調整系列,,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:2020暦年連鎖価格、10億円),,,
"Real, Seasonally Adjusted Series",,,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(Billions of Chained (2020) Yen),,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,開差,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,,純受取,受取,支払,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,Residual,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,,,,Net,Receipt,Payment,,,,,,,,,,,,
4- 6.,"519,125.8 ","286,474.8 ","281,243.4 ","236,735.3 ","30,841.7 ","81,861.5 ","1,246.7 ","90,340.5 ","34,312.4 ",58.2 ,"-2,493.8 ","60,207.9 ","62,701.7 ","-3,516.1 ",,"13,080.6 ","532,206.3 ","10,212.7 ","13,122.3 ","2,909.5 ","542,419.1 ",,"523,575.3 ","399,770.6 ","123,798.1 ",,"145,794.7 ",,"517,300.7 ",,,
7- 9.,"522,003.3 ","288,498.8 ","283,284.1 ","238,607.9 ","30,918.6 ","82,601.9 ","2,088.2 ","90,756.3 ","33,777.7 ",51.6 ,"-3,359.1 ","60,766.3 ","64,125.4 ","-3,330.7 ",,"13,029.6 ","535,032.9 ","10,524.8 ","13,666.7 ","3,141.9 ","545,557.7 ",,"527,187.1 ","403,441.8 ","123,740.9 ",,"146,146.2 ",,"519,394.3 ",,,
10-12.,"520,014.2 ","285,922.0 ","280,675.4 ","235,821.2 ","31,080.1 ","84,283.0 ","1,705.2 ","90,786.9 ","33,459.8 ",151.1 ,"-4,464.2 ","61,549.5 ","66,013.7 ","-2,909.7 ",,"13,451.2 ","533,465.4 ","10,990.4 ","14,294.8 ","3,304.4 ","544,455.8 ",,"525,919.8 ","402,332.5 ","123,581.2 ",,"147,766.5 ",,"517,675.7 ",,,
2005/ 1- 3.,"523,233.5 ","288,638.1 ","283,349.3 ","238,396.8 ","30,574.6 ","86,237.0 ",731.5 ,"91,670.1 ","32,793.5 ",179.9 ,"-4,652.1 ","60,949.9 ","65,602.0 ","-2,939.2 ",,"12,431.1 ","535,664.5 ","10,516.4 ","14,469.3 ","3,952.9 ","546,180.9 ",,"529,562.6 ","405,635.8 ","123,922.8 ",,"148,738.5 ",,"521,800.8 ",,,
4- 6.,"528,261.3 ","290,605.2 ","285,243.6 ","240,157.4 ","30,442.9 ","89,223.6 ","1,587.5 ","91,257.5 ","30,837.8 ",-18.0 ,"-3,257.5 ","63,542.9 ","66,800.4 ","-2,417.7 ",,"10,527.4 ","538,788.7 ","11,760.3 ","15,925.8 ","4,165.5 ","550,549.0 ",,"532,928.7 ","411,374.9 ","121,561.6 ",,"149,933.9 ",,"526,181.4 ",,,
7- 9.,"533,020.6 ","293,290.4 ","287,866.0 ","242,602.0 ","31,042.5 ","90,976.6 ",285.8 ,"91,134.9 ","31,537.6 ",9.4 ,"-2,991.2 ","65,548.7 ","68,539.9 ","-2,265.3 ",,"8,937.2 ","541,957.8 ","12,498.8 ","16,714.9 ","4,216.0 ","554,456.7 ",,"537,161.4 ","415,085.1 ","122,087.2 ",,"152,967.8 ",,"532,166.6 ",,,
10-12.,"534,522.3 ","293,771.1 ","288,305.9 ","242,851.0 ","31,392.7 ","89,369.5 ",410.1 ,"91,586.9 ","30,845.6 ",-13.1 ,-842.8 ,"67,843.9 ","68,686.7 ","-1,997.8 ",,"8,055.0 ","542,577.3 ","13,433.2 ","18,189.3 ","4,756.1 ","556,010.5 ",,"536,265.0 ","414,367.2 ","121,910.9 ",,"150,954.0 ",,"533,573.5 ",,,
2006/ 1- 3.,"534,939.2 ","293,771.9 ","288,295.6 ","242,655.9 ","30,926.3 ","89,202.9 ",118.7 ,"91,310.1 ","31,910.0 ",31.2 ,-504.8 ,"69,402.5 ","69,907.4 ","-1,827.1 ",,"6,070.5 ","541,009.8 ","14,159.3 ","19,345.2 ","5,185.9 ","555,169.1 ",,"536,104.1 ","413,490.2 ","122,623.5 ",,"151,347.2 ",,"534,240.0 ",,,
4- 6.,"536,418.5 ","294,764.5 ","289,258.4 ","243,438.2 ","30,867.0 ","91,046.8 ",-803.7 ,"91,725.0 ","30,602.0 ",-25.8 ,-255.0 ,"70,572.5 ","70,827.5 ","-1,502.3 ",,"5,772.2 ","542,190.7 ","14,035.4 ","19,597.8 ","5,562.5 ","556,226.0 ",,"537,170.3 ","415,372.9 ","121,816.9 ",,"152,008.1 ",,"536,694.8 ",,,
7- 9.,"536,339.0 ","292,435.4 ","286,882.6 ","240,869.3 ","30,883.0 ","91,011.4 ","1,015.8 ","91,816.5 ","29,159.6 ",38.8 ,"1,103.8 ","71,885.6 ","70,781.8 ","-1,125.3 ",,"4,615.6 ","540,954.7 ","14,649.0 ","20,355.5 ","5,706.5 ","555,603.7 ",,"535,517.6 ","414,854.4 ","120,688.0 ",,"150,642.4 ",,"534,747.2 ",,,
10-12.,"543,554.5 ","297,061.4 ","291,515.3 ","245,329.4 ","30,723.6 ","92,897.4 ",742.5 ,"91,783.0 ","29,501.2 ",-10.2 ,"1,958.5 ","72,758.2 ","70,799.7 ","-1,102.9 ",,"5,488.4 ","549,042.8 ","15,505.6 ","21,839.1 ","6,333.4 ","564,548.5 ",,"541,880.8 ","421,009.5 ","120,903.8 ",,"152,793.3 ",,"542,273.2 ",,,
2007/ 1- 3.,"547,464.6 ","296,130.7 ","290,628.3 ","244,240.4 ","30,762.5 ","93,681.5 ","2,550.8 ","92,299.0 ","29,858.6 ",-109.8 ,"3,103.3 ","74,498.9 ","71,395.6 ",-811.9 ,,"5,076.9 ","552,541.5 ","16,663.7 ","23,445.6 ","6,781.9 ","569,205.2 ",,"544,394.9 ","422,789.1 ","121,633.0 ",,"153,981.5 ",,"544,438.7 ",,,
4- 6.,"548,309.6 ","298,727.2 ","293,284.9 ","246,727.2 ","30,221.9 ","92,733.0 ",913.8 ,"93,189.4 ","29,089.9 ",127.5 ,"3,744.3 ","76,248.3 ","72,504.0 ",-437.2 ,,"4,222.1 ","552,531.7 ","17,374.2 ","23,690.0 ","6,315.9 ","569,905.9 ",,"544,369.9 ","422,251.7 ","122,141.3 ",,"151,776.7 ",,"546,670.3 ",,,
7- 9.,"544,701.6 ","295,268.5 ","289,861.6 ","243,164.0 ","27,836.8 ","91,621.6 ","1,537.3 ","93,034.6 ","28,833.9 ",39.1 ,"6,254.7 ","78,143.8 ","71,889.1 ",275.1 ,,"2,729.9 ","547,431.4 ","15,603.0 ","23,724.2 ","8,121.3 ","563,034.4 ",,"537,786.2 ","416,161.8 ","121,644.2 ",,"148,179.4 ",,"542,532.7 ",,,
10-12.,"547,804.6 ","296,803.3 ","291,420.9 ","244,621.6 ","25,121.8 ","91,524.5 ","2,578.5 ","93,904.7 ","29,315.2 ",69.6 ,"7,607.3 ","80,459.5 ","72,852.1 ",879.5 ,,-702.8 ,"547,101.8 ","17,377.0 ","24,522.3 ","7,145.3 ","564,478.8 ",,"539,243.9 ","416,253.5 ","123,009.5 ",,"146,021.8 ",,"544,533.9 ",,,
2008/ 1- 3.,"548,954.6 ","297,289.9 ","291,912.1 ","244,949.1 ","25,597.1 ","92,199.0 ","1,781.3 ","93,689.9 ","28,498.9 ",84.5 ,"8,698.0 ","82,480.5 ","73,782.5 ","1,116.1 ",,"-2,906.0 ","546,048.6 ","16,803.2 ","22,969.9 ","6,166.7 ","562,851.8 ",,"539,047.6 ","416,994.7 ","122,072.8 ",,"146,401.6 ",,"546,515.9 ",,,
4- 6.,"546,317.6 ","294,132.0 ","288,782.6 ","241,619.1 ","26,608.9 ","90,937.2 ","4,155.6 ","92,620.9 ","27,650.0 ",-36.6 ,"9,058.2 ","80,797.4 ","71,739.2 ","1,191.4 ",,"-5,399.7 ","540,917.9 ","13,254.3 ","19,280.5 ","6,026.1 ","554,172.3 ",,"536,024.4 ","415,987.8 ","120,055.1 ",,"145,229.1 ",,"541,509.7 ",,,
7- 9.,"540,228.7 ","293,493.4 ","288,180.2 ","240,825.8 ","27,207.6 ","89,769.2 ",-458.5 ,"92,725.2 ","27,748.1 ",-43.1 ,"8,904.5 ","80,842.7 ","71,938.3 ",882.2 ,,"-8,935.2 ","531,293.5 ","14,046.9 ","19,625.9 ","5,579.1 ","545,340.4 ",,"530,012.0 ","409,794.7 ","120,243.0 ",,"144,654.2 ",,"540,288.3 ",,,
10-12.,"527,418.7 ","289,432.1 ","284,078.0 ","236,503.8 ","26,905.8 ","86,813.9 ","7,042.1 ","93,022.8 ","27,607.0 ",55.2 ,"-2,605.9 ","70,675.0 ","73,280.9 ",-854.3 ,,-879.0 ,"526,539.7 ","12,626.2 ","17,902.9 ","5,276.7 ","539,166.0 ",,"530,992.3 ","410,473.1 ","120,546.9 ",,"141,162.0 ",,"519,377.6 ",,,
2009/ 1- 3.,"504,027.0 ","291,224.6 ","285,778.4 ","238,019.6 ","24,197.1 ","81,460.4 ","-3,440.8 ","93,542.2 ","27,905.1 ",-87.9 ,"-8,831.1 ","52,663.6 ","61,494.7 ","-1,942.7 ",,"4,646.7 ","508,673.7 ","11,925.9 ","16,473.9 ","4,548.0 ","520,599.6 ",,"514,097.7 ","392,987.4 ","121,161.3 ",,"133,352.3 ",,"507,641.1 ",,,
4- 6.,"509,670.3 ","289,779.3 ","284,238.6 ","236,293.2 ","22,078.0 ","79,048.5 ","-4,296.6 ","94,705.1 ","30,131.1 ",12.1 ,"-1,299.4 ","57,445.4 ","58,744.8 ",-487.7 ,,"4,425.0 ","514,095.3 ","13,404.5 ","17,449.1 ","4,044.6 ","527,499.7 ",,"510,699.5 ","386,242.6 ","124,527.4 ",,"130,949.2 ",,"514,046.5 ",,,
7- 9.,"506,344.3 ","289,122.5 ","283,516.8 ","235,412.6 ","20,731.5 ","76,825.9 ","-6,239.8 ","95,625.6 ","29,568.5 ",15.3 ,"1,102.3 ","62,973.0 ","61,870.7 ",-407.4 ,,"2,656.7 ","509,001.0 ","12,804.3 ","16,750.0 ","3,945.8 ","521,805.3 ",,"504,871.9 ","379,993.6 ","124,953.8 ",,"126,857.6 ",,"512,832.5 ",,,
10-12.,"514,487.3 ","292,673.3 ","287,008.0 ","238,769.6 ","20,434.3 ","76,307.9 ","-5,016.9 ","95,865.8 ","29,871.5 ",28.9 ,"4,240.5 ","67,519.4 ","63,278.9 ",82.0 ,,"1,576.4 ","516,063.7 ","12,779.5 ","16,450.1 ","3,670.6 ","528,843.2 ",,"509,513.8 ","384,088.7 ","125,493.1 ",,"126,328.3 ",,"519,607.2 ",,,
2010/ 1- 3.,"520,863.8 ","294,508.6 ","288,782.1 ","240,383.5 ","21,275.7 ","76,543.3 ","-3,399.3 ","95,148.8 ","30,303.2 ",91.5 ,"6,401.5 ","71,535.5 ","65,134.0 ",-9.4 ,,959.7 ,"521,823.5 ","13,855.9 ","17,912.9 ","4,057.0 ","535,679.4 ",,"513,771.9 ","388,622.1 ","125,219.4 ",,"127,772.8 ",,"524,259.2 ",,,
4- 6.,"528,052.0 ","297,237.4 ","291,485.1 ","242,930.1 ","21,445.2 ","77,169.5 ",-386.3 ,"97,105.0 ","28,572.2 ",-24.9 ,"6,645.3 ","74,976.7 ","68,331.4 ",288.7 ,,68.3 ,"528,120.4 ","13,509.2 ","17,894.9 ","4,385.7 ","541,629.6 ",,"520,723.7 ","395,295.5 ","125,503.0 ",,"126,945.3 ",,"528,455.1 ",,,
7- 9.,"537,138.1 ","301,904.9 ","296,128.6 ","247,449.1 ","21,689.2 ","77,804.7 ","2,432.2 ","97,464.7 ","28,161.4 ",-144.7 ,"7,428.6 ","77,042.0 ","69,613.4 ",397.0 ,,-375.2 ,"536,762.9 ","14,304.7 ","18,514.8 ","4,210.1 ","551,067.6 ",,"529,072.6 ","403,795.3 ","125,364.6 ",,"127,444.1 ",,"534,741.7 ",,,
10-12.,"532,540.9 ","297,325.2 ","291,430.6 ","242,481.9 ","22,350.4 ","77,206.9 ","2,560.5 ","97,981.5 ","27,516.4 ",-56.2 ,"7,214.9 ","77,319.4 ","70,104.5 ",441.3 ,,"-1,312.1 ","531,228.8 ","14,586.1 ","19,017.8 ","4,431.7 ","545,814.9 ",,"524,672.5 ","399,359.5 ","125,393.7 ",,"126,838.3 ",,"529,899.7 ",,,
2011/ 1- 3.,"524,893.4 ","291,089.7 ","284,993.5 ","235,893.2 ","23,188.2 ","77,823.9 ",946.4 ,"98,669.1 ","27,183.0 ",-56.7 ,"5,722.3 ","76,637.2 ","70,915.0 ",327.6 ,,"-3,638.7 ","521,254.7 ","15,308.2 ","19,694.6 ","4,386.4 ","536,562.9 ",,"518,558.9 ","392,822.4 ","125,790.0 ",,"127,946.6 ",,"523,937.1 ",,,
4- 6.,"521,545.2 ","294,504.5 ","288,205.7 ","239,345.5 ","22,638.9 ","77,150.4 ",118.0 ,"98,922.7 ","27,882.6 ",-11.5 ,274.6 ,"70,892.3 ","70,617.8 ",65.0 ,,"-6,203.9 ","515,341.3 ","15,264.1 ","19,468.0 ","4,203.8 ","530,605.4 ",,"520,872.5 ","394,180.1 ","126,742.8 ",,"127,396.8 ",,"521,401.2 ",,,
7- 9.,"534,011.6 ","297,434.6 ","290,965.3 ","241,934.0 ","23,463.0 ","78,316.1 ","3,337.6 ","99,351.4 ","27,093.0 ",41.3 ,"4,523.0 ","77,497.9 ","72,974.9 ",451.5 ,,"-7,049.1 ","526,962.5 ","15,197.8 ","19,424.5 ","4,226.8 ","542,160.2 ",,"528,921.2 ","402,495.8 ","126,514.0 ",,"128,621.0 ",,"530,379.1 ",,,
10-12.,"534,214.1 ","300,601.0 ","293,988.7 ","244,786.9 ","23,087.7 ","83,502.7 ",-264.7 ,"99,694.3 ","26,241.4 ",-14.6 ,"1,181.8 ","75,535.4 ","74,353.6 ",184.5 ,,"-7,206.8 ","527,007.3 ","14,364.5 ","18,606.0 ","4,241.5 ","541,371.8 ",,"532,633.3 ","406,727.3 ","126,019.2 ",,"132,804.1 ",,"534,486.9 ",,,
2012/ 1- 3.,"542,324.2 ","301,306.3 ","294,581.6 ","245,165.7 ","22,990.9 ","83,021.6 ","3,761.6 ","100,731.4 ","27,765.5 ",2.7 ,"2,337.7 ","77,877.7 ","75,540.0 ",406.6 ,,"-7,896.5 ","534,427.7 ","14,325.7 ","18,653.2 ","4,327.5 ","548,753.4 ",,"539,614.6 ","411,209.7 ","128,505.1 ",,"133,663.8 ",,"538,188.7 ",,,
4- 6.,"537,308.3 ","302,047.5 ","295,180.1 ","245,545.0 ","23,346.0 ","82,711.9 ",697.7 ,"100,607.3 ","28,089.6 ",45.6 ,-55.6 ,"77,148.9 ","77,204.4 ",-181.7 ,,"-8,207.8 ","529,100.5 ","14,316.7 ","19,078.8 ","4,762.2 ","543,417.2 ",,"537,268.1 ","408,626.1 ","128,728.2 ",,"133,986.4 ",,"536,493.3 ",,,
7- 9.,"535,169.2 ","302,511.1 ","295,485.8 ","245,662.8 ","23,862.1 ","82,071.7 ","1,037.7 ","100,930.5 ","27,586.0 ",75.6 ,"-2,697.4 ","74,307.3 ","77,004.7 ",-208.0 ,,"-6,192.0 ","528,977.1 ","14,698.9 ","18,912.6 ","4,213.7 ","543,676.1 ",,"537,825.3 ","409,288.7 ","128,627.7 ",,"133,334.7 ",,"533,951.3 ",,,
10-12.,"534,891.4 ","304,062.0 ","296,958.1 ","246,935.4 ","24,346.6 ","82,007.4 ",-729.9 ,"101,651.8 ","26,994.1 ",8.9 ,"-3,288.8 ","71,797.9 ","75,086.7 ",-160.7 ,,"-6,544.0 ","528,347.4 ","14,960.2 ","19,785.6 ","4,825.5 ","543,307.6 ",,"537,953.3 ","409,309.2 ","128,733.9 ",,"133,162.1 ",,"535,692.1 ",,,
2013/ 1- 3.,"541,706.1 ","308,858.3 ","301,762.3 ","251,562.6 ","24,362.4 ","81,172.6 ",128.1 ,"101,459.0 ","27,166.8 ",-97.3 ,"-1,305.1 ","74,128.1 ","75,433.2 ",-38.8 ,,"-8,138.5 ","533,567.6 ","16,302.7 ","21,563.8 ","5,261.1 ","549,870.3 ",,"542,650.7 ","414,206.8 ","128,558.5 ",,"132,483.0 ",,"541,703.2 ",,,
4- 6.,"547,278.6 ","310,950.8 ","303,804.1 ","253,394.3 ","24,639.0 ","84,373.6 ","-2,004.1 ","102,740.0 ","28,150.8 ",15.5 ,"-1,272.9 ","76,619.7 ","77,892.6 ",-314.1 ,,"-7,763.4 ","539,515.1 ","20,236.7 ","26,322.0 ","6,085.3 ","559,751.9 ",,"548,345.9 ","417,523.1 ","130,919.5 ",,"136,976.5 ",,"549,433.2 ",,,
7- 9.,"552,460.3 ","312,523.2 ","305,291.2 ","254,659.3 ","25,647.4 ","85,667.7 ",-507.7 ,"102,832.0 ","29,686.7 ",-71.0 ,"-2,823.9 ","76,538.8 ","79,362.6 ",-494.3 ,,"-7,936.6 ","544,523.7 ","18,237.9 ","25,126.7 ","6,888.8 ","562,761.6 ",,"555,199.2 ","422,971.7 ","132,329.5 ",,"140,732.1 ",,"553,093.8 ",,,
10-12.,"551,698.2 ","311,774.6 ","304,598.1 ","253,815.9 ","26,457.8 ","86,799.1 ",-83.8 ,"103,043.0 ","29,999.9 ",64.2 ,"-5,543.6 ","76,185.5 ","81,729.2 ",-812.9 ,,"-8,865.7 ","542,832.5 ","18,448.8 ","24,928.4 ","6,479.6 ","561,281.3 ",,"557,513.0 ","424,598.0 ","133,014.8 ",,"142,965.6 ",,"551,686.8 ",,,
2014/ 1- 3.,"557,450.2 ","318,132.8 ","311,168.0 ","260,355.7 ","26,704.5 ","90,089.9 ","-2,455.1 ","103,011.5 ","29,537.8 ",65.5 ,"-5,927.9 ","80,864.6 ","86,792.5 ","-1,708.8 ",,"-10,991.0 ","546,459.2 ","18,415.2 ","25,895.4 ","7,480.2 ","564,874.4 ",,"564,361.3 ","431,941.5 ","132,561.5 ",,"146,124.5 ",,"560,073.7 ",,,
4- 6.,"549,443.1 ","303,780.3 ","297,137.5 ","246,129.8 ","24,709.8 ","88,762.3 ","2,259.4 ","103,149.1 ","28,365.5 ",82.6 ,"-1,328.9 ","82,050.3 ","83,379.2 ",-337.0 ,,"-9,486.5 ","539,956.6 ","18,330.9 ","26,081.9 ","7,751.0 ","558,287.5 ",,"551,096.3 ","419,564.1 ","131,628.0 ",,"141,728.5 ",,"546,779.3 ",,,
7- 9.,"550,507.5 ","305,908.2 ","299,535.1 ","248,501.6 ","23,680.8 ","90,346.3 ",-313.8 ,"103,562.5 ","29,264.6 ",140.2 ,"-1,374.1 ","83,246.1 ","84,620.1 ",-707.3 ,,"-9,692.5 ","540,815.0 ","20,200.0 ","28,131.2 ","7,931.3 ","561,015.0 ",,"552,399.7 ","419,492.6 ","132,982.8 ",,"143,227.3 ",,"550,624.4 ",,,
10-12.,"553,703.8 ","306,557.7 ","300,140.3 ","249,039.7 ","23,614.2 ","91,087.4 ",-777.4 ,"103,937.5 ","29,268.3 ",16.8 ,588.7 ,"85,732.3 ","85,143.6 ",-589.4 ,,"-8,393.7 ","545,310.0 ","22,822.3 ","31,343.8 ","8,521.5 ","568,132.3 ",,"553,439.2 ","420,320.2 ","133,195.5 ",,"143,920.1 ",,"554,512.9 ",,,
2015/ 1- 3.,"562,599.8 ","308,719.3 ","301,955.1 ","250,793.5 ","24,408.9 ","95,055.9 ",103.7 ,"104,721.8 ","28,267.9 ",101.3 ,"1,419.5 ","86,986.0 ","85,566.5 ",-198.5 ,,"-4,729.5 ","557,870.3 ","20,688.7 ","29,235.6 ","8,546.9 ","578,559.0 ",,"561,245.5 ","428,220.6 ","133,138.8 ",,"147,729.0 ",,"562,314.6 ",,,
4- 6.,"562,954.7 ","308,868.1 ","301,755.8 ","250,528.2 ","24,727.2 ","94,807.4 ","2,033.9 ","104,606.6 ","27,749.7 ",-66.1 ,210.4 ,"84,122.4 ","83,912.0 ",17.4 ,,"-3,295.5 ","559,659.2 ","21,887.2 ","30,548.9 ","8,661.7 ","581,546.4 ",,"562,683.4 ","430,520.0 ","132,300.0 ",,"147,272.7 ",,"560,764.8 ",,,
7- 9.,"563,775.3 ","309,948.9 ","302,611.2 ","251,323.4 ","24,769.6 ","95,337.7 ","1,111.6 ","105,209.9 ","27,748.2 ",-75.0 ,64.2 ,"86,253.2 ","86,189.0 ",-339.6 ,,"-2,415.7 ","561,359.7 ","21,508.4 ","30,810.8 ","9,302.4 ","582,868.1 ",,"563,931.3 ","431,166.3 ","132,896.9 ",,"147,846.9 ",,"562,619.4 ",,,
10-12.,"562,701.0 ","308,224.2 ","300,659.5 ","249,306.2 ","24,671.8 ","95,570.2 ",889.3 ,"105,946.7 ","28,342.9 ",-54.1 ,-535.7 ,"85,284.3 ","85,820.0 ",-354.4 ,,"-1,370.3 ","561,330.7 ","22,444.5 ","32,016.6 ","9,572.1 ","583,775.2 ",,"563,476.3 ","429,339.2 ","134,242.8 ",,"148,569.2 ",,"561,764.5 ",,,
2016/ 1- 3.,"567,570.3 ","308,602.3 ","300,815.4 ","249,396.3 ","24,399.7 ","95,216.9 ","1,346.0 ","107,376.9 ","29,276.8 ",45.0 ,"1,315.1 ","85,938.5 ","84,623.5 ",-8.4 ,,"2,276.9 ","569,847.2 ","20,725.7 ","30,097.3 ","9,371.6 ","590,572.9 ",,"566,189.2 ","429,576.2 ","136,693.7 ",,"148,863.3 ",,"566,047.0 ",,,
4- 6.,"565,647.0 ","306,375.4 ","298,322.9 ","246,926.4 ","24,886.8 ","94,862.5 ","3,135.7 ","106,448.8 ","28,281.8 ",-214.5 ,"1,700.8 ","85,427.8 ","83,727.0 ",169.8 ,,"2,258.3 ","567,905.4 ","19,442.4 ","29,365.9 ","9,923.5 ","587,347.8 ",,"563,807.8 ","429,379.7 ","134,532.9 ",,"148,003.3 ",,"562,477.8 ",,,
7- 9.,"566,912.6 ","307,765.9 ","299,447.8 ","248,013.0 ","25,193.8 ","95,233.6 ",515.0 ,"106,779.9 ","28,291.3 ",-272.6 ,"3,225.7 ","87,286.3 ","84,060.7 ",180.1 ,,"1,985.2 ","568,897.8 ","18,708.8 ","28,941.8 ","10,233.1 ","587,606.6 ",,"563,385.7 ","428,665.2 ","134,820.0 ",,"148,687.8 ",,"566,580.6 ",,,
10-12.,"567,006.6 ","308,231.3 ","299,753.1 ","248,271.4 ","25,283.5 ","95,979.6 ","-1,355.7 ","106,842.4 ","28,295.6 ",-329.3 ,"3,948.9 ","89,227.2 ","85,278.3 ",110.3 ,,772.3 ,"567,779.0 ","18,875.3 ","29,107.0 ","10,231.7 ","586,654.2 ",,"562,740.6 ","428,005.0 ","134,832.7 ",,"149,536.6 ",,"568,698.7 ",,,
2017/ 1- 3.,"571,114.5 ","309,193.3 ","300,663.9 ","249,122.3 ","24,884.1 ","96,528.3 ",-234.5 ,"107,134.0 ","28,526.6 ",-257.4 ,"5,159.9 ","91,325.6 ","86,165.8 ",180.3 ,,"-1,382.4 ","569,732.2 ","21,365.3 ","31,996.5 ","10,631.2 ","591,097.5 ",,"565,631.5 ","430,310.4 ","135,420.1 ",,"149,927.4 ",,"571,553.8 ",,,
4- 6.,"572,977.9 ","311,166.6 ","302,573.1 ","250,974.2 ","25,159.4 ","97,093.0 ",-388.3 ,"106,829.2 ","28,849.6 ",-39.0 ,"4,176.8 ","91,324.9 ","87,148.0 ",130.8 ,,"-1,807.9 ","571,170.0 ","20,054.2 ","30,857.2 ","10,803.0 ","591,224.2 ",,"568,511.1 ","432,987.8 ","135,630.2 ",,"151,084.3 ",,"573,334.2 ",,,
7- 9.,"579,483.7 ","310,183.0 ","301,476.6 ","249,820.1 ","24,989.4 ","98,503.3 ","2,749.2 ","107,312.2 ","28,322.3 ",-21.7 ,"7,144.4 ","93,619.4 ","86,475.0 ",301.7 ,,-894.2 ,"578,589.4 ","21,455.0 ","31,987.7 ","10,532.7 ","600,044.4 ",,"572,016.8 ","436,509.8 ","135,628.1 ",,"151,827.0 ",,"576,596.0 ",,,
10-12.,"580,397.4 ","311,506.1 ","302,733.2 ","251,030.5 ","24,497.5 ","99,166.6 ","3,392.0 ","107,302.1 ","28,512.3 ",-17.9 ,"5,691.8 ","94,672.8 ","88,981.1 ",346.9 ,,"-2,498.7 ","577,898.7 ","20,817.2 ","32,019.2 ","11,201.9 ","598,715.9 ",,"574,372.0 ","438,691.7 ","135,807.8 ",,"152,199.7 ",,"576,829.7 ",,,
2018/ 1- 3.,"579,477.3 ","310,604.5 ","301,810.0 ","250,060.4 ","23,825.6 ","99,723.5 ","1,391.3 ","108,129.5 ","28,733.0 ",-12.8 ,"6,723.0 ","96,287.1 ","89,564.1 ",359.6 ,,"-3,267.5 ","576,209.8 ","20,346.9 ","32,518.0 ","12,171.1 ","596,556.7 ",,"572,358.4 ","435,598.4 ","136,864.5 ",,"152,309.8 ",,"577,986.9 ",,,
4- 6.,"583,163.0 ","310,841.5 ","302,083.8 ","250,271.3 ","23,191.5 ","102,378.6 ","1,778.4 ","108,025.5 ","29,151.4 ",20.3 ,"7,328.3 ","97,070.5 ","89,742.2 ",447.5 ,,"-5,398.1 ","577,764.9 ","21,947.4 ","33,943.6 ","11,996.2 ","599,712.3 ",,"575,403.5 ","438,308.0 ","137,205.9 ",,"154,766.6 ",,"581,218.3 ",,,
7- 9.,"580,286.3 ","311,409.9 ","302,669.9 ","250,844.4 ","23,238.2 ","99,595.9 ","2,087.4 ","107,974.4 ","29,011.7 ",67.0 ,"6,545.6 ","95,712.1 ","89,166.5 ",356.4 ,,"-6,817.2 ","573,469.1 ","21,789.4 ","33,896.5 ","12,107.1 ","595,258.5 ",,"573,390.2 ","436,424.3 ","137,070.0 ",,"151,869.4 ",,"577,957.1 ",,,
10-12.,"580,703.6 ","311,588.8 ","302,725.6 ","250,825.1 ","23,488.6 ","101,849.3 ","3,782.7 ","108,834.1 ","28,658.3 ",27.0 ,"2,409.2 ","95,947.1 ","93,537.9 ",65.6 ,,"-7,095.4 ","573,608.1 ","22,391.3 ","34,951.1 ","12,559.8 ","595,999.5 ",,"578,351.7 ","440,918.7 ","137,547.4 ",,"154,039.2 ",,"576,634.5 ",,,
2019/ 1- 3.,"581,427.8 ","310,426.8 ","301,302.0 ","249,288.8 ","24,173.3 ","102,439.6 ","1,160.9 ","109,133.6 ","29,304.9 ",-41.6 ,"4,597.1 ","94,843.9 ","90,246.9 ",233.2 ,,"-4,162.3 ","577,265.6 ","21,938.2 ","34,113.5 ","12,175.2 ","599,203.8 ",,"576,582.3 ","438,283.0 ","138,397.0 ",,"155,948.2 ",,"580,219.4 ",,,
4- 6.,"583,748.5 ","310,324.1 ","300,971.3 ","248,837.8 ","24,429.7 ","102,229.5 ","2,686.7 ","110,315.1 ","29,945.0 ",-97.3 ,"3,766.7 ","95,188.3 ","91,421.6 ",148.8 ,,"-5,992.7 ","577,755.8 ","22,271.4 ","34,777.1 ","12,505.7 ","600,027.2 ",,"579,885.3 ","439,829.7 ","140,142.6 ",,"156,621.7 ",,"580,989.4 ",,,
