STATUS,200
MESSAGEID,M181000I
MESSAGE,Successfully completed
DATE,2026-07-13T14:21:02.663+09:00
PARAMETER,FORMAT,CSV
PARAMETER,LANG,EN
PARAMETER,DB,FM09
PARAMETER,STARTDATE,197001
PARAMETER,ENDDATE,202605
PARAMETER,STARTPOSITION,
NEXTPOSITION,
SERIES_CODE,NAME_OF_TIME_SERIES,UNIT,FREQUENCY,CATEGORY,LAST_UPDATE,SURVEY_DATES,VALUES
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,198008,36.5
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,198009,38.05
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,198010,39.37
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,198011,39.25
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,198012,40.3
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,198101,41.87
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,198102,42.17
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,198103,41.6
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,198104,40.86
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,198105,40.64
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,198106,40.6
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,198107,39.67
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,198108,40
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,198109,40.12
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,198110,39.37
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,198111,40.47
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,198112,41.52
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,198201,40.75
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,198202,39.44
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,198203,38.84
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,198204,38.68
