"時間軸（2020～2023） コード","時間軸（2020～2023） 補助コード","時間軸（2020～2023）","性別_基本 コード","性別_基本 補助コード","性別_基本","地域 コード","地域 補助コード","地域","/表章項目","全学歴 所定内給与額【千円】","中学 所定内給与額【千円】","高校 所定内給与額【千円】","専門学校 所定内給与額【千円】","高専 短大 所定内給与額【千円】","大学 所定内給与額【千円】","大学院 所定内給与額【千円】"
"2023000000","","2023年","01","","男女計","47000","","沖縄県","","214.4","-","164.9","200.0","200.3","234.6","200.0"
"2023000000","","2023年","02","","男","00000","","全国","","226.8","186.8","189.0","210.8","222.8","240.3","283.2"
"2023000000","","2023年","02","","男","01000","","北海道","","223.5","-","175.9","203.5","235.1","247.9","253.5"
"2023000000","","2023年","02","","男","02000","","青森県","","190.9","-","177.4","179.5","209.4","210.2","275.0"
"2023000000","","2023年","02","","男","03000","","岩手県","","197.1","-","180.9","190.0","192.0","221.2","226.0"
"2023000000","","2023年","02","","男","04000","","宮城県","","209.9","-","188.0","209.4","201.4","220.1","283.0"
"2023000000","","2023年","02","","男","05000","","秋田県","","219.2","-","172.1","201.5","183.6","281.9","220.9"
"2023000000","","2023年","02","","男","06000","","山形県","","199.9","-","175.1","188.4","198.9","230.1","256.6"
"2023000000","","2023年","02","","男","07000","","福島県","","210.5","172.0","183.9","194.0","211.0","258.9","282.2"
"2023000000","","2023年","02","","男","08000","","茨城県","","224.9","-","186.9","194.4","218.3","246.9","266.9"
"2023000000","","2023年","02","","男","09000","","栃木県","","219.1","-","191.1","232.0","209.9","231.9","275.9"
"2023000000","","2023年","02","","男","10000","","群馬県","","215.8","-","196.1","203.1","204.5","233.6","270.5"
"2023000000","","2023年","02","","男","11000","","埼玉県","","235.9","-","202.5","220.9","225.5","254.1","255.7"
"2023000000","","2023年","02","","男","12000","","千葉県","","235.2","-","190.6","232.6","219.8","260.5","273.3"
"2023000000","","2023年","02","","男","13000","","東京都","","242.0","-","195.7","221.2","241.5","244.5","286.7"
"2023000000","","2023年","02","","男","14000","","神奈川県","","244.3","-","196.5","215.5","231.5","244.9","326.0"
"2023000000","","2023年","02","","男","15000","","新潟県","","204.6","-","180.6","210.3","195.4","218.1","242.2"
"2023000000","","2023年","02","","男","16000","","富山県","","209.3","-","188.6","198.7","206.9","229.0","240.0"
"2023000000","","2023年","02","","男","17000","","石川県","","217.3","-","188.0","208.0","213.6","240.1","250.1"
"2023000000","","2023年","02","","男","18000","","福井県","","224.1","-","187.6","205.5","208.8","233.9","254.4"
"2023000000","","2023年","02","","男","19000","","山梨県","","212.4","-","193.4","195.5","199.5","234.6","274.3"
"2023000000","","2023年","02","","男","20000","","長野県","","209.3","-","182.6","205.7","196.3","238.4","257.4"
